ID,Ordination_type,Restoration_time,Ecosystem,Prior_land_use,Restoration_strategy,Restored_Mean,Degraded_Mean,Deg_vs_Res_Mean,Restored_SD,Degraded_SD,Deg_vs_Res_SD,Restored_SS,Degraded_SS,yi,vi
SB146,PCoA,25,Forest,Erosion,Active,0.513087,0.2071272,0.444012,0.2136063,0.1277657,0.14447803,3,3,-0.483697079,0.075104879
SB028,PCoA,45,Forest,Agriculture,Active,0.05876116,0.20792701,0.5303085,0.06296456,0.01976585,0.06065424,3,3,0.687378839,0.0247724
SB131,PCoA,9,Grassland,Pasture,Passive,0.09511542,0.21582045,0.5139076,0.04167415,0.17995202,0.1707147,3,3,0.502456798,0.154419027
SB054,NMDS,50,Forest,Agriculture,Passive,0.1417108,0.2232751,1.8531487,0.05188216,0.09985878,0.11215284,3,3,1.624782749,0.032907924
SB054,NMDS,40,Forest,Agriculture,Passive,0.1968208,0.2232751,1.9118807,0.09609208,0.09985878,0.07225627,3,3,1.515359678,0.036751047
SB054,NMDS,30,Forest,Agriculture,Passive,0.1980172,0.2232751,1.9761111,0.06639696,0.09985878,0.11337307,3,3,1.545559209,0.028104441
SB054,NMDS,10,Forest,Agriculture,Passive,0.6474502,0.2232751,0.66377,0.30952343,0.09985878,0.29836939,3,3,-0.271390839,0.113857891
SB054,NMDS,20,Forest,Agriculture,Passive,0.9769626,0.2232751,0.9205396,0.45651899,0.09985878,0.4184453,3,3,-0.26531488,0.119407739
SB121,PCoA,14,Grassland,Pasture,Active,0.1267323,0.233709,0.5448846,0.08559675,0.20981405,0.14866786,4,4,0.413244915,0.117420758
SB121,PCoA,14,Grassland,Pasture,Active,0.3124265,0.233709,0.3755783,0.28270314,0.20981405,0.23310779,4,4,-0.374400142,0.200192834
SB121,PCoA,14,Grassland,Pasture,Active,0.3960992,0.233709,0.3016473,0.25791089,0.20981405,0.23315212,4,4,-0.736156875,0.219024534
SB133,PCA,48,Forest,Pasture,Active,0.2109048,0.2416995,0.6918383,0.05052236,0.074375,0.1760235,3,3,0.424334024,0.034732525
SB133,PCA,31,Forest,Pasture,Active,0.2524378,0.2416995,0.58716,0.09578657,0.074375,0.1846189,3,3,0.172483941,0.053031764
SB142,PCA,10,Forest,Monoculture plantation,Active,0.283523,0.2505102,0.2587295,0.08086931,0.08527533,0.1258744,3,3,-0.724674895,0.095040437
SB142,PCA,5,Forest,Monoculture plantation,Active,0.2981722,0.2505102,0.3090668,0.14315187,0.08527533,0.1092779,3,3,-0.573962333,0.072412888
SB103,PCoA,3,Grassland,Pasture,Passive,0.2033744,0.2538494,0.6482149,0.037579,0.1600154,0.1639459,3,3,0.349049291,0.064401123
SB092,NMDS,15,Forest,Agriculture,Active,0.5087667,0.2546098,0.666541,0.213413,0.1663143,0.2270649,9,9,-0.135649703,0.026852502
SB092,NMDS,15,Forest,Agriculture,Passive,0.676156,0.2546098,0.8223629,0.3694225,0.1663143,0.4109072,9,9,-0.123825906,0.048791783
SB132,NMDS,57,Forest,Erosion,Active,0.4224326,0.2563579,2.607242,0.2288676,0.1231304,0.1628104,3,3,1.345735699,0.050162546
